cluster_id,name,st_mean,st_median,st_rank,fa_mean,fa_median,fr_mean,fr_median,fo_mean,fo_median,count,clusterid,male,mostly_male,female,mostly_female,male_ratio_strict,male_ratio_loose,ideo_shift,negs_shift,0.8,0.85,0.9,0.95
0,,6340.041667,1332.5,108,7983.06875,1299.5,937.8770833,630,8332.564583,132.5,480,0,141,20,28,15,0.834319527,0.789215686,0.069033449,0.123816028,0.067669173,0.045112782,0.022556391,0.007518797
1,Wrestle,7877.874266,1037,93,7153.176989,2162,1290.362787,766,3618.45969,426.5,3746,1,404,41,65,55,0.861407249,0.787610619,0.078447918,0.1206995,0.112781955,0.082706767,0.037593985,0.022556391
2,,4372.065728,1230.5,102,5058.826291,943,1118.399061,717.5,1303.957746,329,426,2,55,14,139,25,0.283505155,0.296137339,0.058829007,0.115061283,0.097744361,0.052631579,0.037593985,0
3,,4161.412409,593,65,2831.229927,231.5,798.7226277,480,568.5474453,140,274,3,83,9,25,7,0.768518519,0.741935484,0.071630795,0.134149428,0.07518797,0.045112782,0.030075188,0.007518797
4,Car,300.2364672,14,14,143.8319088,1,207.2108262,101,55.00854701,14,351,4,46,4,22,8,0.676470588,0.625,0.1570169,0.162929807,0.142857143,0.105263158,0.045112782,0.022556391
5,Pop Cuture / Entertainment,1870.786733,490,53,2386.932953,566,591.4914408,346,701.0606277,208.5,1402,5,161,23,374,75,0.300934579,0.290679305,0.051712893,0.094439052,0.097744361,0.067669173,0.030075188,0.015037594
6,Teacher,8056.083558,1274,104,6296.574124,1084,488.606469,325,834.8113208,132,371,6,10,4,102,19,0.089285714,0.103703704,0.084359562,0.133310426,0.07518797,0.060150376,0.030075188,0.007518797
7,Beauty,3350.438152,493,55,2380.140089,124,660.3934426,389,799.4083458,181,671,7,177,20,68,23,0.72244898,0.684027778,0.06979624,0.096839681,0.097744361,0.082706767,0.060150376,0.037593985
8,LGBT,6243.007273,1124,96,6565.410909,1163,756.1345455,402,760.9818182,130,275,8,42,10,77,12,0.352941176,0.368794326,0.103975961,0.13696146,0.127819549,0.097744361,0.060150376,0.022556391
9,,7266.267943,1805,119,6548.980861,1314,554.9712919,341,315.2009569,167,209,9,72,4,24,5,0.75,0.723809524,0.073624421,0.12454269,0.082706767,0.07518797,0.052631579,0.015037594
10,,4588.558304,949,88,2815.636042,217,577.1024735,367,767.4310954,215,283,10,57,5,76,13,0.428571429,0.410596026,0.072740997,0.11617368,0.135338346,0.082706767,0.060150376,0.022556391
11,,968.0913706,112.5,22,343.7005076,0,785.9822335,541,515.642132,202,394,11,31,2,30,14,0.508196721,0.428571429,0.116757118,0.110476788,0.142857143,0.135338346,0.097744361,0.067669173
12,Things To Do in Atlanta,3606.277457,604.5,67,4420.725434,810.5,620.8583815,380.5,394.699422,99,346,12,82,6,88,23,0.482352941,0.442211055,0.064873019,0.127105468,0.052631579,0.045112782,0.037593985,0.007518797
13,,12241.76431,2474,127,8621.474747,2408,592.9393939,371,630.5925926,174,297,13,66,12,33,10,0.666666667,0.644628099,0.08294475,0.140181123,0.097744361,0.082706767,0.015037594,0
14,,3743.021583,642,71,2876.484412,333,583.7098321,368,957.6354916,207,417,14,58,5,36,20,0.617021277,0.529411765,0.053664729,0.113602518,0.052631579,0.030075188,0.015037594,0.015037594
15,HBCU,7040.378761,1380,110,9906.125664,2071,714.2654867,399,548.0141593,133,565,15,155,8,20,10,0.885714286,0.844559585,0.077926384,0.136087467,0.067669173,0.052631579,0.037593985,0.007518797
16,,6744.172414,1788,118,9381.143842,2270,655.7133005,442,1904.920197,174,1015,16,391,50,132,47,0.747609943,0.711290323,0.054237986,0.098934816,0.090225564,0.052631579,0.022556391,0.015037594
17,Atlanta United (US Soccer),7460.613687,1305,105,6874.573951,684,520.0154525,299,854.6313466,223,453,17,69,18,68,11,0.503649635,0.524096386,0.060478477,0.131142331,0.067669173,0.045112782,0.022556391,0.007518797
18,Georgia State University,2933.067376,379,40,4020.5,526.5,750.5851064,414,1140.578014,160.5,282,18,81,4,59,6,0.578571429,0.566666667,0.0668232,0.134178438,0.067669173,0.052631579,0.030075188,0.007518797
19,Science,5577.416667,671.5,72,957.1096491,98,818.3157895,456.5,15879.04605,275,456,19,63,4,74,16,0.459854015,0.426751592,0.054145841,0.114375772,0.07518797,0.045112782,0.030075188,0.015037594
20,Health,2084.428016,382.5,42,3410.07393,656.5,656.0642023,394,1300.184825,279,514,20,178,12,119,16,0.599326599,0.584615385,0.057071115,0.117536741,0.067669173,0.052631579,0.030075188,0.015037594
21,Emory,2963.912676,371,38,1794.95493,134,654.4338028,322,622.2816901,117,355,21,61,2,69,15,0.469230769,0.428571429,0.074728319,0.107069713,0.07518797,0.060150376,0.052631579,0.037593985
22,Gwinnett,5969.683891,1318,107,4681.194529,579,831,534,762.1489362,229,329,22,62,12,32,9,0.659574468,0.643478261,0.129447528,0.122722553,0.157894737,0.142857143,0.090225564,0.052631579
23,EDM/DJ,3173.690763,782,80,3425.526104,298,1123.839357,662,1132.955823,140,249,23,70,5,37,9,0.654205607,0.619834711,0.077582472,0.122045084,0.112781955,0.067669173,0.030075188,0.007518797
24,Rock n Roll,7024.84273,2373,126,14034.24629,4636,487.8308605,360,914.0207715,172,337,24,32,8,97,20,0.248062016,0.25477707,0.074815286,0.120720039,0.097744361,0.067669173,0.060150376,0.007518797
25,LGBTQ: Black,7694.336842,780,79,1650.410526,215,701.0561404,367,1372.687719,201,285,25,36,7,13,10,0.734693878,0.651515152,0.083610381,0.131801829,0.090225564,0.060150376,0.037593985,0.007518797
26,Music Industry,5087.443709,698.5,73,5950.546358,692.5,466.7483444,295,1927.639073,95,302,26,105,20,11,6,0.905172414,0.88028169,0.067643275,0.120665234,0.07518797,0.052631579,0.022556391,0
27,,4227.045959,912,86,3001.575277,411,771.8541997,492,997.0522979,281,631,27,107,10,150,29,0.416342412,0.39527027,0.060758975,0.099823151,0.097744361,0.060150376,0.045112782,0.022556391
28,,4597.289963,625,68,4056.282528,301,584.6802974,381,1677.420074,185,269,28,45,6,35,15,0.5625,0.504950495,0.084924739,0.142197395,0.097744361,0.07518797,0.045112782,0.015037594
29,,390.4452926,29,18,173.9720102,5,348.4223919,169,129.2086514,27,393,29,46,7,29,8,0.613333333,0.588888889,0.107927431,0.156564141,0.105263158,0.052631579,0.030075188,0.015037594
30,Radio: DJs and Atlanta Personalities,4143.843243,967.5,90,3254.710811,344,710.8432432,439.5,860.8054054,163,370,30,123,15,37,18,0.76875,0.715025907,0.076716247,0.11132372,0.127819549,0.082706767,0.030075188,0.015037594
31,,3273.483974,597.5,66,3227.708333,207,616.9935897,393,3344.391026,99.5,312,31,73,14,89,15,0.450617284,0.455497382,0.083853018,0.132738661,0.090225564,0.060150376,0.045112782,0.015037594
32,,3596.059867,1174,98,2731.642276,318,632.1463415,349,2234.046563,210,1353,32,418,52,308,88,0.575757576,0.542725173,0.043303187,0.08701608,0.097744361,0.045112782,0.022556391,0.007518797
33,,548.9432314,13,13,332.2969432,3,151.4585153,69,81.57641921,10,229,33,26,3,24,2,0.52,0.527272727,0.125749882,0.125937983,0.127819549,0.112781955,0.067669173,0.037593985
34,Gen-Pop News,1631.852814,201,27,463.4588745,34,545.3679654,255,611.6623377,95,231,34,20,1,45,12,0.307692308,0.269230769,0.094137379,0.130951548,0.082706767,0.060150376,0.037593985,0.022556391
35,,2298.706117,391.5,44,613.5106383,34,627.2486702,319,447.0465426,146,752,35,144,19,172,40,0.455696203,0.434666667,0.065572234,0.10391133,0.105263158,0.067669173,0.060150376,0.030075188
36,,3936.721436,432,48,2216.515778,86,709.7431991,425,561.9945593,118,919,36,70,16,191,39,0.268199234,0.272151899,0.062557269,0.105735959,0.090225564,0.067669173,0.052631579,0.022556391
