community_size,community_size_log,semantic_change,ideology_semantic_change,male_ratio,friends_count_mean,friends_count_mean_log,friends_count_median,friends_count_median_log,follower_count_mean,follower_count_mean_log,follower_count_median,follower_count_median_log,tweet_count_mean,tweet_count_mean_log,tweet_count_median,tweet_count_median_log,tweet_count_rank,gender,age,is_org,betweenness,closeness,cluster_id,category,cluster_group,cluster_name,topic_words,top_follows
480,6.17,0.1238,0.0690,0.83,937.88,6.84,630,6.45,8332.56,9.03,132.5,4.89,6340.04,8.75,1332.5,7.19,108,0.17,1.56,0.05,0.92,0.28,0,sports,Martial Arts,wrestler,"wrestl,wwe,wrestler,pro,fan,gamer,sport,#wwe,youtub,championship,fanat,hardcor,savag,xbox,game","TripleH,JohnCena,WWE,steveaustinBSR,RandyOrton,WWEDanielBryan,WWERollins,IAmJericho,TheRock,ShawnMichaels,StephMcMahon,VinceMcMahon,mikethemiz,HEELZiggler,TrueKofi,SashaBanksWWE,WWERomanReigns,WWEUniverse,CMPunk,RealPaigeWWE,BeckyLynchWWE,TheAJMendez,FinnBalor,RealMickFoley,WWECesaro"
3746,8.23,0.1207,0.0784,0.86,1290.36,7.16,766,6.64,3618.46,8.19,426.5,6.06,7877.87,8.97,1037,6.94,93,0.13,1.25,0.04,0.96,0.27,1,entertainment,lifestyle,Sex,"freak,dick,dl,bottom,atl,ass,nigga,freaki,top,vers,ver,dm,kik,dude,look","phatrabbitkill2,850Bdt,Yzmab,SRhyheim,Rastadikk1,AtlReddPolo,xgchase,TyroneNJohnnell,Str8ShootahATL,DLXRATED,AtlantaTrade,LustRashad,BeastDatBoss,_itz_TEDDY,Temptations312,Nola_Bwoy,xclusive002,MrMrslimkat,itsmeyoukraving,chino_blac,officialmckell,thaheromars,maxkonnorxxx,AtlantaDl3,"
426,6.05,0.1151,0.0588,0.28,1118.40,7.02,717.5,6.58,1303.96,7.17,329,5.80,4372.07,8.38,1230.5,7.12,102,0.69,2.20,0.12,0.92,0.30,2,society,education,Reads,"author,writer,book,write,novel,publish,fiction,reader,editor,bestsel,librarian,rep'd,seri,romanc,cat","nytimesbooks,penguinrandom,goodreads,penguinusa,PublishersWkly,nybooks,nprbooks,simonschuster,ajc,BarackObama,WritersDigest,littlebrown,NewYorker,nytimes,HarperCollins,parisreview,GuardianBooks,latimesbooks,TwitterBooks,neilhimself,TheEllenShow,PenguinBooks,nationalbook,cl_atlanta,NPR"
274,5.61,0.1341,0.0716,0.77,798.72,6.68,480,6.17,568.55,6.34,140,4.94,4161.41,8.33,593,6.39,65,0.18,2.03,0.27,0.90,0.30,3,entertainment,lifestyle,Car,"car,automot,auto,market,enthusiast,detail,dealership,tire,f1,truck,vehicl,dealer,cbt,industri,pre-own","Audi,Porsche,MercedesBenz,MercedesBenzUSA,ajc,Ford,Lamborghini,chevrolet,astonmartin,Cadillac,GM,Lexus,BentleyMotors,BarackObama,Maserati_HQ,BMW,BMWUSA,Jaguar,VW,Jeep,wsbtv,NissanUSA,Honda,JaguarUSA,rollsroycecars"
351,5.86,0.1629,0.1570,0.68,207.21,5.33,101,4.62,55.01,4.01,14,2.64,300.24,5.70,14,2.64,14,0.32,1.78,0.31,0.80,0.27,4,entertainment,social media,Pop Cuture / Entertainment,"hanna,opp,atlanta,us,locksmith,filthyrichmyteammedo,#elecciones2016,supercar,12z,whoopi,uniqu,facebook,indi,instagram,experi","ajc,ATL_Events,cl_atlanta,AtlantaMagazine,MidtownATL,CityofAtlanta,piedmontpark,espn,ATLINtownPaper,DiscoverAtlanta,jimmyfallon,SportsCenter,GAFollowers,BarackObama,AtlantaBeltLine,cnnbrk,taylorswift13,11AliveNews,KasimReed,TheEllenShow,FOX5Atlanta,AtlantaFalcons,danieltosh,wsbtv,KevinHart4real"
1402,7.25,0.0944,0.0517,0.30,591.49,6.38,346,5.85,701.06,6.55,208.5,5.34,1870.79,7.53,490,6.19,53,0.59,2.32,0.30,0.97,0.30,5,society,education,school,"school,educ,teacher,elementari,princip,learn,student,public,grade,instruct,learner,leader,program,specialist,ap","apsupdate,ajc,georgiadeptofed,CarstarphenMJ,usedgov,educationweek,BarackObama,edutopia,wsbtv,CityofAtlanta,BGCMA_CEO,FultonCoSchools,DrEmilyAMassey,HuffPostEdu,APSPartnerships,KeishaBottoms,GaStandardsOrg,USNewsEducation,DonyallD,gaschoolsnews,dan_a_sims,FOX5Atlanta,AssocSupBattle,KasimReed,WeAreTeachers"
371,5.92,0.1333,0.0844,0.09,488.61,6.19,325,5.78,834.81,6.73,132,4.88,8056.08,8.99,1274,7.15,104,0.93,1.31,0.05,0.88,0.28,6,entertainment,lifestyle,Beauty,"makeup,beauti,mua,hair,youtub,fashion,lash,ig,artist,love,esthetician,addict,blogger,skin,lover","UrbanDecay,Sephora,NyxCosmetics,BenefitBeauty,MACcosmetics,tartecosmetics,ColourPopCo,TooFaced,ABHcosmetics,Smashbox,MAKEUPFOREVERUS,NARSCosmetics,MorpheBrushes,stilacosmetics,rihanna,ultabeauty,BarackObama,Jaclynhill,KimKardashian,NikkieTutorials,BobbiBrown,elfcosmetics,KylieJenner,iamcardib,fentybeauty"
671,6.51,0.0968,0.0698,0.72,660.39,6.49,389,5.96,799.41,6.68,181,5.20,3350.44,8.12,493,6.20,55,0.30,2.24,0.31,0.94,0.31,7,society,social justice,LGBT,"gay,lgbtq,lgbt,hiv,atlanta,communiti,activist,lesbian,queer,__,transgend,support,tran,aid,pride","atlantapride,ProjectQAtlanta,theGAVoice,HRC,GAEquality,NOH8Campaign,glaad,BarackObama,TheEllenShow,HRCATL,TheAdvocateMag,cl_atlanta,ajc,huffpostqueer,FenuxeMagazine,CityofAtlanta,LambdaLegal,andersoncooper,ladygaga,DavidAtlantaGA,HillaryClinton,outmagazine,cnnbrk,AtlantaMagazine,Oprah"
275,5.62,0.1370,0.1040,0.35,756.13,6.63,402,6.00,760.98,6.63,130,4.87,6243.01,8.74,1124,7.02,96,0.62,1.78,0.06,0.85,0.29,8,entertainment,random,Games,"dead,walk,twd,#twdfamili,fan,egyptian,#twd,slinger,gamer,tachanka,_makeup,veeam,i'm,model,nurs","wwwbigbaldhead,WalkingDead_AMC,LaurenCohan,steveyeun,mcbridemelissa,chandlerriggs,AMCTalkingDead,TheWalkingDead,DanaiGurira,Cudlitz,SonequaMG,emmykinney,BarackObama,jimmyfallon,JDMorgan,TheEllenShow,hardwick,RobertKirkman,ajc,wsbtv,jonnybernthal,ChadLColeman,AMC_TV,Laurie_Holden,AlannaMasterson"
209,5.34,0.1245,0.0736,0.75,554.97,6.32,341,5.83,315.20,5.75,167,5.12,7266.27,8.89,1805,7.50,119,0.27,1.80,0.04,0.92,0.29,9,sports,Football,steeler,"steeler,#steelersn,pittsburgh,pirat,#steelern,snozberri,love,#steeler,dream,gina,jersey,ain't,str,hate,alumnus","steelers,AB84,TeamJuJu,LeVeonBell,tpolamalu,mvp86hinesward,BarackObama,CoachTomlin,SportsCenter,espn,NFL,jharrison9292,RyanShazier,ajc,KingJames,JeromeBettis36,_BigBen7,bkeisel99,CamHeyward,MaurkicePouncey,_TJWatt,KevinHart4real,GAFollowers,AdamSchefter,Drake"
